date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:08:38	26015/26015	---MCZ	200	added ('OK')	text/html	date:Thu,%2009%20Apr%202020%2008:59:58%20GMT	https://lmpixels.com/demo/leven-html-new/full-width-dark/index.html	D:/XI%20RPL/XI%20RPL%20SEM%201/Etika%20profesi%20dan%20kebudiluhuran/templatecv/lmpixels.com/demo/leven-html-new/full-width-dark/index.html	(from )
16:08:39	601/601	---MC-	302	error ('Found')	text/html	date:Thu,%2029%20Dec%202022%2009:08:38%20GMT	https://lmpixels.com/robots.txt		(from )
16:08:39	1150/1150	---MCZ	200	added ('OK')	image/x-icon	etag:W/%225e8c6b7a-47e%22	https://lmpixels.com/demo/leven-html-new/full-width-dark/favicon.ico	D:/XI%20RPL/XI%20RPL%20SEM%201/Etika%20profesi%20dan%20kebudiluhuran/templatecv/lmpixels.com/demo/leven-html-new/full-width-dark/favicon.ico	(from https://lmpixels.com/demo/leven-html-new/full-width-dark/index.html)
16:08:39	2478/2478	---MCZ	200	added ('OK')	text/css	etag:W/%225e7b2fd0-2483%22	https://lmpixels.com/demo/leven-html-new/full-width-dark/css/normalize.css	D:/XI%20RPL/XI%20RPL%20SEM%201/Etika%20profesi%20dan%20kebudiluhuran/templatecv/lmpixels.com/demo/leven-html-new/full-width-dark/css/normalize.css	(from https://lmpixels.com/demo/leven-html-new/full-width-dark/index.html)
16:08:39	159515/159515	---MCZ	200	added ('OK')	text/css	etag:W/%225ddfcdf0-26f1b%22	https://lmpixels.com/demo/leven-html-new/full-width-dark/css/bootstrap.min.css	D:/XI%20RPL/XI%20RPL%20SEM%201/Etika%20profesi%20dan%20kebudiluhuran/templatecv/lmpixels.com/demo/leven-html-new/full-width-dark/css/bootstrap.min.css	(from https://lmpixels.com/demo/leven-html-new/full-width-dark/index.html)
16:08:39	2912/2912	---MCZ	200	added ('OK')	text/css	etag:W/%22580fd9b6-1010%22	https://lmpixels.com/demo/leven-html-new/full-width-dark/css/owl.carousel.css	D:/XI%20RPL/XI%20RPL%20SEM%201/Etika%20profesi%20dan%20kebudiluhuran/templatecv/lmpixels.com/demo/leven-html-new/full-width-dark/css/owl.carousel.css	(from https://lmpixels.com/demo/leven-html-new/full-width-dark/index.html)
16:08:40	5810/5810	---MCZ	200	added ('OK')	text/css	etag:W/%2258aacbc8-1e66%22	https://lmpixels.com/demo/leven-html-new/full-width-dark/css/magnific-popup.css	D:/XI%20RPL/XI%20RPL%20SEM%201/Etika%20profesi%20dan%20kebudiluhuran/templatecv/lmpixels.com/demo/leven-html-new/full-width-dark/css/magnific-popup.css	(from https://lmpixels.com/demo/leven-html-new/full-width-dark/index.html)
16:08:40	85336/85336	---MCZ	200	added ('OK')	text/css	etag:W/%225e9ec04c-1c787%22	https://lmpixels.com/demo/leven-html-new/full-width-dark/css/main.css	D:/XI%20RPL/XI%20RPL%20SEM%201/Etika%20profesi%20dan%20kebudiluhuran/templatecv/lmpixels.com/demo/leven-html-new/full-width-dark/css/main.css	(from https://lmpixels.com/demo/leven-html-new/full-width-dark/index.html)
16:08:40	9358/9358	---MCZ	200	added ('OK')	application/javascript	etag:W/%22588b7e0e-257f%22	https://lmpixels.com/demo/leven-html-new/full-width-dark/js/modernizr.custom.js	D:/XI%20RPL/XI%20RPL%20SEM%201/Etika%20profesi%20dan%20kebudiluhuran/templatecv/lmpixels.com/demo/leven-html-new/full-width-dark/js/modernizr.custom.js	(from https://lmpixels.com/demo/leven-html-new/full-width-dark/index.html)
16:08:41	25549/25549	---MCZ	200	added ('OK')	text/html	date:Thu,%2009%20Apr%202020%2015:16:34%20GMT	https://lmpixels.com/demo/leven-html-new/full-width-dark/index-2.html	D:/XI%20RPL/XI%20RPL%20SEM%201/Etika%20profesi%20dan%20kebudiluhuran/templatecv/lmpixels.com/demo/leven-html-new/full-width-dark/index-2.html	(from https://lmpixels.com/demo/leven-html-new/full-width-dark/index.html)
